ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,idade_anos,atraso_notificacao_dias,sexo_masc,sexo_fem,gestante,hospitalizado,obito_agravo,obito_outras_causas,criterio_lab,criterio_clinico_epi,criterio_clinico,caso_confirmado_provavel,caso_descartado,caso_inconclusivo,caso_dengue_alarme,caso_dengue_grave,caso_chikungunya,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,febre_flag,mialgia_flag,cefaleia_flag,exantema_flag,vomito_flag,nausea_flag,dor_costas_flag,conjuntvit_flag,artrite_flag,artralgia_flag,petequia_n_flag,leucopenia_flag,laco_flag,dor_retro_flag,diabetes_flag,hematolog_flag,hepatopat_flag,renal_flag,hipertensa_flag,acido_pept_flag,auto_imune_flag,alrm_hipot_flag,alrm_plaq_flag,alrm_vom_flag,alrm_sang_flag,alrm_hemat_flag,alrm_abdom_flag,alrm_letar_flag,alrm_hepat_flag,alrm_liq_flag,grav_pulso_flag,grav_conv_flag,grav_ench_flag,grav_insuf_flag,grav_taqui_flag,grav_extre_flag,grav_hipot_flag,grav_hemat_flag,grav_melen_flag,grav_metro_flag,grav_sang_flag,grav_ast_flag,grav_mioc_flag,grav_consc_flag,grav_orgao_flag,mani_hemor_flag,epistaxe_flag,gengivo_flag,metro_flag,petequias_flag,hematura_flag,sangram_flag,laco_n_flag,plasmatico_flag,evidencia_flag,plaq_menor_flag,con_fhd_flag
200424,2004,24,1585,20.31917808219178,31.086435331230284,0.44353312302839115,0.5564668769716088,0.0,0.14092962921884714,0.0,0.0,0.525,0.35,0.125,0.2,0.0,0.2,0.0,0.0,0.0,0.33699474394705775,0.03933205014335759,0.014100168919316794,0.4487566643028957,0.0014842283072964417,0.9694813413412884,0.7913578655667978,0.9091387091072677,0.3824902364687906,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6346192551009862,0.0,0.0,0.1004376210632039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.026451138868479,0.0190197512801755,0.0103244837758112,0.0484937545922116,0.0103244837758112,0.0081662954714179,,,,0.0,0.0
200425,2004,25,1369,12.414794520547945,47.24762600438276,0.4601899196493791,0.5390796201607012,0.0,0.16742311701315646,0.0,0.0,0.2539682539682539,0.7460317460317459,0.0,0.5555555555555555,0.0,0.06666666666666667,0.0,0.0,0.0,0.39386615994419627,0.04529739351042451,0.016284071790184464,0.37047244443375404,0.0017141128200193912,0.9668125224596782,0.7928707833310343,0.9075064239243343,0.3609773006192443,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.6117415294985389,0.0,0.0,0.17776727454146798,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0270742358078602,0.013204225352112601,0.0159010600706713,0.0537918871252204,0.0053050397877984,0.0097431355181576,,,,0.0,0.0
200426,2004,26,1390,54.540508806262245,44.417985611510794,0.4438848920863309,0.5553956834532374,0.0,0.156795122263012,0.0,0.0,0.34013605442176864,0.6598639455782312,0.0,0.2857142857142857,0.0,0.21428571428571427,0.0,0.0,0.0,0.3889100448964136,0.05127446914648727,0.01157810593630355,0.39822361659544536,0.0024810227006364823,0.956827928929633,0.793665109016384,0.907823830407686,0.40089761597137374,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.6251421577018406,0.0,0.0,0.11438705386832178,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0291423813488759,0.012573344509639501,0.0092748735244519,0.0518828451882845,0.0126903553299492,0.0084745762711864,,,,0.0,
200427,2004,27,1288,12.2586406743941,44.78804347826087,0.4472049689440994,0.5527950310559007,0.0,0.14122990411650205,0.0,0.0,0.21428571428571427,0.7857142857142857,0.0,0.46153846153846156,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0,0.36372581916144264,0.04020379734062825,0.008934177186806246,0.3993210826160632,0.0,0.9735021952450769,0.7941832277192833,0.9200235528360529,0.3815221260057976,0.875,0.0,0.0,0.0,0.0,0.6335412447015635,0.0,0.0,0.14554955313249146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0266055045871559,0.0138121546961325,0.0055350553505535,0.057692307692307605,0.002770083102493,0.0148011100832562,,,,0.0,0.5
200428,2004,28,1213,34.17716894977169,45.971145919208574,0.4723825226710634,0.5276174773289365,0.0,0.16837745772281007,0.0,0.0,0.2833333333333334,0.7166666666666668,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.3163413330128531,0.061990582811782546,0.022205581902728016,0.41584793983600044,0.004626162896401599,0.9610152221331133,0.7877790574759793,0.9130475738207751,0.3657367437151478,0.25,0.25,0.5,0.0,0.0,0.6172678252851443,0.0,0.0,0.10762277677127773,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.027504911591355603,0.0128458498023715,0.0049358341559723,0.0442477876106194,0.0119047619047619,0.0059642147117296,,,,0.0,
200429,2004,29,1110,8.76682974559687,28.843243243243244,0.46936936936936935,0.5297297297297298,0.0,0.12952796359594848,0.0,0.0,0.5,0.32142857142857145,0.17857142857142858,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.30269596519596514,0.05633133133133127,0.012739662739662719,0.4298028798028798,0.0031849156849156797,0.9733179589730356,0.7754052346306686,0.8970932971014494,0.3536976425317352,0.0,0.0,0.0,0.0,0.0,0.6062614977341051,0.0,0.0,0.12937910541132308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.028125,0.0136125654450261,0.0031413612565445,0.0521920668058455,0.0136554621848739,0.0105263157894736,,,,0.0,
200430,2004,30,999,44.85112079701121,44.946946946946944,0.4594594594594595,0.5405405405405406,0.0,0.16373810729720417,0.0,0.0,0.13636363636363635,0.8636363636363636,0.0,0.509090909090909,0.0,0.29090909090909095,0.0,0.0,0.0,0.32270661466063766,0.05456490973732348,0.010230920575748067,0.4273468871170021,0.0,0.9694607274935143,0.796353615068384,0.9080662339263893,0.37471906920725817,0.0,0.5,0.5,0.0,0.0,0.6331017324206882,0.5,0.5,0.11765709038436302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0164705882352941,0.0070671378091872,0.0035460992907801,0.0364277320799059,0.008293838862559202,0.0047449584816132,,,,0.0,1.0
200431,2004,31,1262,128.67634703196347,49.72820919175911,0.4405705229793978,0.5586370839936609,0.0,0.14843755973036907,0.0,0.0,0.4,0.6,0.0,0.5333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.3107888498663532,0.06562778430898725,0.010167684892941647,0.4252737054492031,0.0009243349902673329,0.9721438045375218,0.7855957371225577,0.9129412587412588,0.3246844843049327,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6407349593495936,0.3333333333333333,0.0,0.14410165745856351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0240518038852913,0.0111731843575419,0.0102996254681647,0.05375347544022241,0.0093545369504209,0.0103189493433395,,,,0.0,
200432,2004,32,1122,0.5691780821917808,40.53565062388592,0.45365418894830656,0.5463458110516934,0.0,0.15040446869777765,0.0,0.0,0.45,0.55,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.34022724092880596,0.05556554935939709,0.011113109871879419,0.4345987306052066,0.0,0.9852759436460578,0.7720136149981089,0.9005644115290462,0.33446972294217936,0.0,0.0,0.0,0.0,0.0,0.6134163827824609,1.0,0.0,0.12129438855896253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.029927760577915304,0.0186721991701244,0.0073068893528183,0.0673575129533678,0.0145228215767634,0.0062565172054223,,,,0.0,1.0
200433,2004,33,1145,85.01369863013699,24.39650655021834,0.45240174672489075,0.5467248908296943,0.0,0.14436053014879247,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.3588897646181702,0.05425071892640318,0.011645968686761071,0.3822788369368409,0.0019409947811268287,0.9694656488549618,0.7796116504854369,0.9013409961685824,0.3564453125,,,,,,0.6408730158730159,,,0.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030723488602576805,0.0139165009940357,0.0109561752988047,0.0518962075848303,0.0119760479041916,0.0109780439121756,,,,0.0,0.0
200434,2004,34,1014,41.01671232876713,40.40335305719921,0.4802761341222879,0.5167652859960552,0.0,0.15354578640947852,0.0,0.0,0.5666666666666667,0.4333333333333333,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.3585529459809365,0.055613481740218365,0.007633222983951466,0.43763522143732236,0.002180920852557519,0.9616149258296375,0.7788877016274941,0.9035531761608881,0.39446259806173756,0.0,0.0,0.5,0.0,0.5,0.6383387983785598,0.0,0.0,0.097844306708767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258426966292134,0.0167224080267558,0.0111856823266219,0.03919372900335941,0.0111482720178372,0.0067567567567567,,,,0.0,
200435,2004,35,936,29.38602232369356,37.98290598290598,0.47970085470085466,0.5202991452991453,0.0,0.14090231213214782,0.0,0.0,0.25925925925925924,0.7407407407407407,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.3483918128654971,0.03590868196131347,0.008108412055780402,0.45486954565901927,0.004633378317588829,0.9703854244485511,0.7795481569560048,0.8935855847849272,0.31325093115463176,0.0,0.0,0.0,0.0,0.0,0.6039360254083485,0.0,0.0,0.13514832657200807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0273483947681331,0.0167865707434052,0.0144404332129963,0.043010752688172,0.004801920768307299,0.0108433734939759,,,,0.0,
200436,2004,36,1009,0.07671232876712328,32.445986124876114,0.45688800792864215,0.5431119920713577,0.0,0.17724995921229814,0.0,0.0,0.6,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.37677283756536,0.05146782406616306,0.010722463347117307,0.4130668808311404,0.005361231673558603,0.9554553655748821,0.772591234450747,0.9066975969800145,0.36244140363890415,0.0,0.0,0.0,0.0,0.0,0.604921890973633,0.0,0.0,0.13192111697630307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0384615384615384,0.0121145374449339,0.0088691796008869,0.0453539823008849,0.011049723756906,0.0055432372505543,,,,0.0,
200437,2004,37,1116,0.019960861056751458,31.368279569892472,0.4274193548387096,0.5716845878136201,0.0,0.13598377664591588,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,0.3478187101015885,0.06263652944794385,0.015596169752497273,0.43495542689091077,0.0,0.95732964037633,0.7710341510769902,0.9085068728293701,0.3564826261695459,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.6347522273865179,0.16666666666666666,0.0,0.15013114476690076,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0341968911917098,0.015527950310559003,0.0145530145530145,0.0464876033057851,0.0093457943925233,0.0041580041580041,,,,0.0,
200438,2004,38,978,0.021917808219178082,26.535787321063395,0.43456032719836396,0.565439672801636,0.0,0.12116087567784689,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.0,0.4,0.0,0.0,0.0,0.3551569207244054,0.06152241198253468,0.013444426021113126,0.4131224783065274,0.0011203688350927355,0.9648300011295605,0.7889383815887157,0.914429786991034,0.3356840043271058,0.5,0.0,0.0,0.0,0.0,0.6377232388055387,0.0,0.0,0.19008547008547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0404624277456647,0.0127314814814814,0.005813953488372,0.037037037037037,0.0092807424593967,0.0011668611435239,,,,0.0,
200439,2004,39,904,39.68493150684932,33.70243362831859,0.47234513274336276,0.5276548672566371,0.0,0.15123595818685887,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.3725481391982061,0.05498318257518853,0.010996636515037706,0.41153163744026816,0.0036655455050125687,0.9566183574879228,0.8034118133002892,0.9117444717444718,0.3317642175176421,0.0,0.0,1.0,0.0,0.0,0.6773727285337772,0.0,0.0,0.16365667254556143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0330368487928843,0.0089514066496163,0.017971758664955,0.0500641848523748,0.007702182284980699,0.0077419354838709,,,,0.0,
200440,2004,40,958,0.40410958904109595,34.54906054279749,0.46450939457202506,0.535490605427975,0.0,0.14542300234717825,0.0,0.0,0.5,0.5,0.0,0.625,0.0,0.125,0.0,0.0,0.0,0.3940858578474258,0.04123992211737202,0.015844576698968566,0.44067042337693246,0.0022770362096694624,0.9687808084127507,0.76294250731967,0.8963806741658289,0.359974058351863,0.0,1.0,0.0,0.0,0.0,0.6443577430972389,0.0,0.5,0.12354941976790715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0393063583815028,0.0138888888888888,0.012775842044134698,0.0474537037037037,0.0058275058275058,0.0104895104895104,,,,0.0,0.0
200441,2004,41,1152,19.295291095890413,31.127604166666668,0.4635416666666667,0.5355902777777778,0.0,0.13325058954946004,0.0,0.0,0.7291666666666667,0.27083333333333326,0.0,0.49999999999999994,0.0,0.12499999999999994,0.0,0.0,0.0,0.37964155880472994,0.04760573133056346,0.02094652178544789,0.4359003808458506,0.0,0.9538570876562061,0.7826054974487399,0.8993338854487781,0.3259215944901183,0.0,0.0,0.0,0.0,0.0,0.6406298252910101,0.0,0.0,0.12528382334688867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0331061343719571,0.0146198830409356,0.007866273352999,0.0313111545988258,0.0137120470127326,0.0118226600985221,,,,0.0,0.0
200442,2004,42,1287,11.816952054794521,30.26184926184926,0.47863247863247854,0.5213675213675214,0.0,0.151795581600741,0.0,0.0,0.16666666666666666,0.8333333333333333,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.3661387631975867,0.060177231457508196,0.018912844172359736,0.4449808169531353,0.0025790242053217232,0.9590787569156582,0.8010260058348688,0.9032922874495759,0.3133076642214625,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6627944238648668,0.0,0.0,0.10378341308148971,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.029824561403508705,0.013215859030837,0.0106194690265486,0.0431718061674008,0.0123674911660777,0.0061946902654867,,,,0.0,1.0
200443,2004,43,1185,0.023874755381604686,30.491983122362868,0.45316455696202523,0.5468354430379747,0.0,0.14332013150060832,0.0,0.0,0.1428571428571428,0.7142857142857143,0.1428571428571428,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.37795543711599666,0.07893996594862683,0.030290917166333527,0.41367976904286025,0.0009179065807979286,0.9642475386779186,0.8036578224244336,0.8953123483066353,0.3347819219747738,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.6704762772060833,0.0,0.0,0.10919959084516043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325581395348837,0.0213160333642261,0.0065237651444548,0.0465549348230912,0.0093370681605975,0.0065298507462686,,,,0.0,0.0
200444,2004,44,1605,2.9967021816336885,29.363239875389407,0.4785046728971963,0.5214953271028038,0.0,0.12487011778849591,0.0,0.0,0.3888888888888889,0.6111111111111112,0.0,0.5555555555555556,0.0,0.11111111111111106,0.0,0.0,0.0,0.39220526925587246,0.06959409315606091,0.020075219179632887,0.41902994930881377,0.0006691739726544195,0.9604834241529424,0.8043078721136475,0.920006356851647,0.3473958137847339,0.7777777777777778,0.1111111111111111,1.0,0.0,0.1111111111111111,0.7123688473520249,0.1111111111111111,0.0,0.11345418051809569,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0339335180055401,0.0145732130464954,0.009065550906555,0.0410577592205984,0.0111034004163775,0.0069783670621074,,,,0.0,1.0
200445,2004,45,2121,4.013698630136986,14.152286657237152,0.44931636020744925,0.5506836397925506,0.0,0.11368173720744515,0.0,0.0,0.25,0.75,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.35243765850772313,0.06115443924379402,0.021732569318042468,0.45658576066860174,0.0030324515327501116,0.9690450199310617,0.808213568074186,0.9232502936707627,0.300112555736735,0.0,0.0,0.0,0.0,0.0,0.7188176059369034,0.0,0.0,0.12222481918303602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0396246089676746,0.0125065138092756,0.0083813514929282,0.0453361125586242,0.0089005235602094,0.0036706869428421,,,,0.0,0.0
200446,2004,46,2672,5.382534246575343,15.211452095808383,0.46070359281437123,0.5392964071856288,0.0,0.10451383174493925,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.363137728712551,0.0665198594074757,0.02534089882189545,0.45309059204862706,0.0011878546322763432,0.9636781105701695,0.7960671174200857,0.9178657221511107,0.29519120591309167,1.0,1.0,0.0,0.0,0.0,0.7198716777804812,0.0,0.0,0.1132012690273071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0353473078503904,0.0102796052631578,0.0053763440860215,0.0465020576131687,0.0131904369332234,0.0033085194375516,,,,0.0,0.0
