feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,score_anova_norm,score_mi_norm,score_rf_norm,composite_score,selected
grav_hemat_flag,0.3333090421160829,0.5645601412159889,0.19809129600019726,0.0009195335738531646,0.0009482430319421603,0.5381840068975761,0.0050707014374009405,0.18140098378897307,False
grav_sang_flag,0.017258336065396698,0.8956533071027015,0.18755881062360258,0.00367245833676737,4.906097966213063e-05,0.505945946999107,0.023793229735011377,0.17659607923792686,False
vomito_flag,10.811701157078494,0.0012497028563430187,0.1699485938502494,0.006921756874976076,0.03075985852953811,0.45204421318555027,0.04589157570092059,0.17623188247200297,False
alrm_vom_flag,0.05342454315726693,0.8175147894352747,0.18991066382899646,0.0007297919229818023,0.00015195587498578506,0.5131445503483583,0.0037802762592301304,0.17235892749419138,False
grav_metro_flag,0.010103168898304305,0.9200665933373023,0.17697697499926024,0.006079449037000605,2.8704126237854434e-05,0.47355683479094957,0.04016307467385263,0.17124953786368002,False
alrm_hemat_flag,2.0790570231837187,0.15136293312726568,0.17799994657137197,0.0033422033016827944,0.005914994323199738,0.4766879683873421,0.021547178799259017,0.16805004716993363,False
raca_branca,18.721768741578856,2.709295103554281e-05,0.1280563763131859,0.018510878854704562,0.05326444614202109,0.3238196042778855,0.1247087185204128,0.16726425631343977,False
grav_ast_flag,0.021824260636089138,0.8827488107606062,0.17456657198082026,0.0006888463022174032,6.205129212601929e-05,0.46617902090282404,0.0035018067733393605,0.15658095965609645,False
grav_consc_flag,1.3994416613483849,0.23864014411645995,0.17315540720185596,0.0006776994798193145,0.003981450356624557,0.46185969711131364,0.0034259976918170126,0.1564223817199184,False
conjuntvit_flag,58.243891065110795,2.2593115342941497e-12,0.10759038129682064,0.004612838433033349,0.1657071092368364,0.2611768424198413,0.030188716164582973,0.15235755594042022,False
grav_taqui_flag,0.9027181593564719,0.34354261171171807,0.16622668143636932,0.001961870121132343,0.0025682440280641594,0.4406521028673002,0.012159589504726651,0.1517933121333637,False
alrm_letar_flag,0.0023996168732350032,0.9609940187631814,0.15351984848008926,0.001837216612326017,6.787087018720713e-06,0.40175875269235395,0.011311826108696781,0.13769245529602317,False
grav_hipot_flag,0.11888092169474722,0.7307218331390731,0.15662764001837615,0.000275040026808663,0.00033818295710061146,0.4112711485021681,0.0006875272821455918,0.1374322862471381,False
raca_indigena,1.483684409785097,0.22506184854241765,0.14779049834294167,0.0014339880750629033,0.0042211257187700375,0.38422223340972445,0.008569485380386805,0.13233761483629378,False
gestante,9.202457225789097,0.002837440292269911,0.13053162253293094,0.003831841057547559,0.026181468945039216,0.3313958916442962,0.024877185075947886,0.12748484855509443,False
caso_inconclusivo,0.3752659392021899,0.5410512996438852,0.13908427617678965,0.00184728476057859,0.0010676127663136357,0.3575740395935243,0.011380299171637954,0.12334065051049196,False
caso_confirmado_provavel,0.3777372731448884,0.5397237001447608,0.1392369013294148,0.0017550994929918728,0.0010746438505160186,0.3580411979741357,0.010753350951233975,0.12328973092529523,False
caso_dengue_grave,3.0878145476167083,0.08086789336946358,0.13745395055432397,0.001075499258617421,0.008784966272976397,0.35258390353429436,0.006131417656671617,0.12250009582131414,False
hipertensa_flag,29.473593929967016,2.1625739430995847e-07,0.09203450523905077,0.0012225939810804306,0.08385399412771839,0.21356307926779727,0.007131802825508385,0.10151629207367469,False
renal_flag,0.2408729113191922,0.6242749812252208,0.11588066778303796,0.0007903934866375246,0.0006852570356968499,0.2865519312770312,0.004192425005795443,0.09714320443950782,False
