feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,score_anova_norm,score_mi_norm,score_rf_norm,composite_score,selected
raca_amarela,4.7132294429704595,0.0005003116450769189,0.26702376925905247,0.005417571084226425,0.04655634995818728,0.2768037033305496,0.07768213623517711,0.13368072984130466,False
grav_extre_flag,0.7135777131695228,0.6141522320795647,0.32664330325100455,0.0023808753731369477,0.005550145422302002,0.3544831722741257,0.03132232277381312,0.13045188015674694,False
sexo_fem,7.573277564001708,2.280188835770004e-06,0.21971951793210476,0.00584036092971965,0.07587883255327033,0.21517005952604126,0.08413667110966172,0.12506185439632445,False
alrm_hipot_flag,1.6993541707317272,0.13813067231999646,0.2896091729478081,0.00302561965603995,0.01565676314210733,0.30623067209309723,0.04116533225827027,0.12101758916449162,False
sexo_masc,7.620489915914296,2.0897502659023067e-06,0.21328413292146964,0.004671637769379171,0.07636287453740681,0.20678526922994356,0.06629432111604922,0.11648082162779987,False
grav_hipot_flag,0.98297988109037,0.4301830339148299,0.2889857070198154,0.0015779137632718038,0.00831217600558056,0.30541834601558343,0.019063883341095208,0.1109314684540864,False
grav_ench_flag,3.4119905920927343,0.005994652152286281,0.2548086907713025,0.00229308890355674,0.03321547178332979,0.2608884361941007,0.02998212779171199,0.10802867858971416,False
alrm_sang_flag,1.5007249945022694,0.19290698481039045,0.2534117138981462,0.0032343911589872197,0.01362032867793339,0.2590682874212523,0.0443525491721479,0.10568038842377787,False
grav_consc_flag,0.9766038930392277,0.43408728304504096,0.2789546256578319,0.0006764712552289272,0.00824680654648605,0.2923486518909385,0.005301982085595825,0.10196581350767348,False
renal_flag,1.7437793741470367,0.12800375077583076,0.24625933219294893,0.0028860277959037945,0.016112230042943508,0.24974930796367267,0.039034248602767885,0.10163192886979468,False
grav_conv_flag,1.444999909588193,0.21140780251011027,0.2627166151189644,0.0011101284342858095,0.01304901037720726,0.27119182709036743,0.01192242346002829,0.09872108697586766,False
hepatopat_flag,3.2723978254484773,0.007809965800008864,0.2088612203465745,0.0036814107346040638,0.031784304789940244,0.2010225690376191,0.0511769880066006,0.0946612872780533,False
grav_metro_flag,0.3804269273258037,0.8615900381990497,0.2463938405375714,0.0007201609191721209,0.002134535717134401,0.24992456154381915,0.005968971755716401,0.08600935633889,False
auto_imune_flag,3.441104890813177,0.0056723785329480915,0.1794072181858759,0.002606808748971739,0.0335139644944211,0.16264636759976722,0.03477154197616755,0.07697729135678529,False
diabetes_flag,7.721183800731342,1.7354486389400183e-06,0.11177686984628554,0.0042232887627349225,0.07739523293140282,0.07452945034580813,0.05944958647974349,0.07045808991898482,False
hematolog_flag,3.303949856559765,0.007357149835421412,0.14387147439200287,0.0030468356132062795,0.03210779021534164,0.11634614481044354,0.041489226355740594,0.06331438712717526,False
alrm_letar_flag,0.17222917847325495,0.9725483140491483,0.17426355534728488,0.002320556926854474,0.0,0.1559445876465644,0.030401469259342437,0.06211535230196894,False
grav_sang_flag,0.30921597240782633,0.9068174674219921,0.1435993943410736,0.0010152031338830927,0.0014044494046674854,0.11599164633567889,0.01047324328587938,0.042623113008741914,False
grav_mioc_flag,1.1242046517084037,0.3500006583757083,0.054574997089908095,0.00032917679786403394,0.00976007502797489,0.0,0.0,0.0032533583426582967,False
