ibge_municipio,codigo_wmo,distancia_km,uf
1703305,A020,1.48,TO
3507100,A744,21.58,SP
2102077,A220,30.05,MA
4302352,B814,31.36,RS
2201919,A308,20.0,PI
4302378,B845,20.79,RS
3107901,A509,45.03,MG
4202602,A845,36.47,SC
4302402,A882,21.17,RS
3108008,A570,37.17,MG
4103206,A835,37.49,PR
3507159,A714,45.47,SP
4103222,A816,37.09,PR
4202453,A868,32.16,SC
1400159,S122,1.09,RR
3108107,A555,40.72,MG
2201929,A345,24.8,PI
5203559,A002,27.71,GO
2602308,A357,28.0,PE
1501600,A248,49.34,PA
5002209,S704,13.84,MS
3108255,A559,43.85,MG
2502409,A373,41.08,PB
2502508,A348,17.15,PB
4302451,B860,42.71,RS
2201945,A376,42.6,PI
2800670,A417,24.18,SE
2904100,A454,27.3,BA
3507209,A768,38.43,SP
3507308,A705,31.47,SP
2502706,A310,22.2,PB
3507407,A737,38.48,SP
3108305,A530,45.18,MG
3507456,A705,24.62,SP
4302501,A852,35.15,RS
3108404,A530,30.8,MG
3507506,A741,47.34,SP
2904209,A454,39.17,BA
4202701,A817,37.52,SC
4302584,B843,18.79,RS
4202800,A814,32.65,SC
4202859,A863,24.15,SC
4302600,A805,26.84,RS
1501709,A226,0.6,PA
3507605,A744,1.66,SP
4103354,B803,42.5,PR
2701100,A303,44.45,AL
3108701,A510,40.14,MG
1501725,A253,15.77,PA
5002308,S705,5.93,MS
4103370,A825,48.57,PR
1703602,A049,32.96,TO
1200104,A140,3.58,AC
2201960,A335,15.86,PI
5300108,A001,1.18,DF
5101902,A927,49.61,MT
3108800,A533,38.7,MG
5203609,A002,29.72,GO
3108909,A531,30.71,MG
2602407,A322,15.39,PE
3201159,A657,20.06,ES
2401800,A304,42.19,RN
2602506,A321,29.75,PE
3507753,A735,28.96,SP
2602605,A341,44.46,PE
2502805,A316,47.34,PB
2201988,A365,19.31,PI
2800704,A421,5.42,SE
1501758,A044,33.57,PA
2302503,A315,38.07,CE
2904308,A434,22.32,BA
1501782,A229,12.6,PA
1501808,A228,0.12,PA
4302659,A882,24.83,RS
3507902,A711,41.53,SP
3109006,A555,23.85,MG
2904605,A433,2.26,BA
4202875,A860,26.18,SC
4202909,A868,22.0,SC
3109105,A739,46.96,MG
2904704,A410,35.88,BA
3109253,A554,36.91,MG
2602803,A309,23.68,PE
1200138,A104,18.57,AC
1501907,A202,26.1,PA
3508009,A714,35.91,SP
3508108,A735,23.67,SP
5203906,A035,34.21,GO
2102309,A222,49.35,MA
5203939,A014,40.76,GO
1703800,A044,38.75,TO
2202000,A308,14.35,PI
2202026,A361,46.63,PI
2102325,A238,1.01,MA
5203962,A017,43.38,GO
2904753,A432,2.38,BA
2102358,A225,49.65,MA
3109303,A544,10.95,MG
3508207,A753,19.96,SP
3109402,A545,17.87,MG
4302709,B813,8.76,RS
2503001,A320,41.88,PB
5002407,S706,2.26,MS
2904803,A446,36.14,BA
2503100,A348,0.63,PB
2904852,A406,19.38,BA
2202059,A376,46.59,PI
2503209,A320,17.25,PB
2602902,A301,25.84,PE
3300704,A606,9.58,RJ
3109501,A530,49.84,MG
3508306,A705,33.78,SP
3508405,A755,36.49,SP
2603009,A329,0.67,PE
4203006,A859,5.5,SC
3508504,A728,20.15,SP
4302808,A812,3.75,RS
1100601,A940,44.94,RO
4302907,A889,24.08,RS
5102504,A941,1.22,MT
2904902,A406,16.52,BA
5204102,A011,39.93,GO
3109600,A569,30.36,MG
5204201,A027,40.69,GO
3109709,A531,42.15,MG
3102704,A549,24.47,MG
4303004,B822,4.73,RS
2503308,A333,41.14,PB
5204250,A035,31.2,GO
3109808,A035,34.96,MG
2102374,A203,48.35,MA
3508603,A769,2.69,SP
3300803,A624,14.79,RJ
2603108,A341,27.46,PE
4303103,B808,2.22,RS
3201209,A622,29.52,ES
2503407,A321,13.66,PB
2503506,A310,38.04,PB
2503555,A321,27.39,PB
2701209,A327,40.73,AL
4303202,B861,7.21,RS
1100049,A939,2.72,RO
2905107,A440,15.69,BA
3109907,A569,31.19,MG
3110004,A572,30.01,MG
2603207,A322,20.63,PE
2905206,A426,32.39,BA
4103404,A850,45.48,PR
3508801,A727,20.0,SP
3508900,A707,21.13,SP
3110103,A617,46.2,MG
5204409,A023,1.7,GO
4303301,A852,34.08,RS
4203105,A854,40.09,SC
4303400,A854,12.95,RS
2503605,A352,36.26,PB
2402006,A316,2.8,RN
3509007,A701,19.4,SP
2905404,A444,18.48,BA
3509106,A759,49.84,SP
3509205,A755,18.8,SP
2102408,S108,27.44,MA
3509254,A766,34.24,SP
2503704,A333,27.6,PB
2202075,A354,33.34,PI
3509304,A736,28.66,SP
2701308,A303,45.53,AL
3110202,A510,8.04,MG
3509403,A770,35.33,SP
2603306,A322,26.38,PE
3110301,A530,0.13,MG
2503803,A310,45.38,PB
5204557,A002,24.55,GO
2905503,A440,27.59,BA
2202091,A347,41.33,PI
4203154,A859,27.28,SC
2603405,A350,16.3,PE
2905602,A437,45.46,BA
2905701,A456,22.01,BA
3110400,A570,32.12,MG
2503902,A334,33.12,PB
2905800,A438,15.01,BA
3110509,A509,16.38,MG
5002605,S707,6.03,MS
4303509,A838,5.36,RS
2603454,A301,4.48,PE
4303558,B858,22.73,RS
4103602,A716,24.19,PR
4303608,A897,0.37,RS
4103800,A835,41.44,PR
4203204,A868,13.74,SC
3300902,A604,4.58,RJ
3110608,A509,27.85,MG
3110707,A515,34.1,MG
1502103,A236,0.41,PA
2603504,A341,28.94,PE
3110806,A527,45.33,MG
3110905,A515,29.98,MG
3111002,A530,27.75,MG
2701357,A357,20.08,AL
4303673,B817,14.68,RS
4103909,B803,2.07,PR
4303707,B837,33.39,RS
2504009,A313,3.51,PB
4104006,B806,10.51,PR
3111101,A519,3.34,MG
4303806,A828,32.1,RS
4203303,A862,31.16,SC
2701407,A353,29.3,AL
2905909,A337,43.14,BA
2202117,A331,46.04,PI
3111150,A547,36.96,MG
3111200,A570,46.57,MG
4203402,A865,43.01,SC
4303905,A884,0.35,RS
2801009,A451,7.95,SE
4104105,A862,31.83,PR
4203501,A816,23.48,SC
2906006,A428,20.21,BA
2701506,A353,25.35,AL
5002704,A702,9.69,MS
2202133,A343,41.61,PI
4104204,A807,29.97,PR
2202174,A338,45.98,PI
5204854,A002,40.89,GO
3509601,A755,36.1,SP
4104253,A807,23.77,PR
2202208,A376,5.15,PI
4304002,A805,19.54,RS
5102637,A905,15.22,MT
2402105,A367,17.96,RN
5102678,A912,2.38,MT
3111507,A565,41.47,MG
5204904,A032,27.68,GO
4304101,A883,28.16,RS
3509700,A706,3.12,SP
3301009,A607,5.91,RJ
1703842,A043,30.84,TO
4203600,A898,1.73,SC
3509809,A763,40.92,SP
2302701,A347,1.31,CE
3111903,A570,47.43,MG
3111705,A510,27.05,MG
3509908,A746,48.95,SP
3111804,A035,34.66,MG
2906204,A424,41.06,BA
5102702,A957,9.72,MT
3509957,A769,4.94,SP
2906303,A437,46.01,BA
2906402,A441,18.84,BA
2906501,A456,16.19,BA
3112000,A524,39.52,MG
1100809,A925,15.97,RO
4304200,B840,37.04,RS
2906600,A426,25.72,BA
4304309,A810,31.6,RS
2102606,A219,45.87,MA
3510104,A736,30.52,SP
2906709,A549,36.39,BA
4304358,B823,27.5,RS
4104428,B804,42.69,PR
4304408,A879,2.06,RS
4203709,A868,34.56,SC
2402204,A352,21.14,RN
4304507,A811,2.29,RS
2603702,A322,32.68,PE
2302800,A314,41.82,CE
2801207,A371,4.04,SE
3510153,A716,6.1,SP
4304606,B808,7.32,RS
4203808,A864,24.34,SC
2906808,A436,38.02,BA
1400175,A135,24.88,RR
3301108,A629,24.6,RJ
4104451,B804,28.24,PR
3112059,A533,44.63,MG
2202307,A365,2.77,PI
2906824,A435,38.88,BA
4304614,B860,30.56,RS
1502202,A226,46.96,PA
4104501,A855,8.23,PR
4203253,A865,22.9,SC
3510203,A715,37.91,SP
4304622,A844,15.73,RS
4304630,B832,9.41,RS
4304655,A833,43.2,RS
4304663,A887,9.26,RS
3112109,A556,41.27,MG
2701704,A303,37.45,AL
2801306,A451,48.27,SE
4304689,B814,12.54,RS
3510302,A713,16.33,SP
3112208,A502,37.69,MG
3112307,A541,13.43,MG
3112406,A561,33.19,MG
2504033,A352,39.55,PB
3112505,A569,11.16,MG
3112604,A512,30.03,MG
4203907,A841,20.34,SC
2302909,A314,25.89,CE
4304697,B859,17.2,RS
3112653,A532,29.78,MG
2202406,A335,26.07,PI
3112703,A506,42.54,MG
4104600,A855,30.04,PR
1502301,A248,1.58,PA
3510401,A726,34.59,SP
4203956,A866,22.58,SC
4304671,B836,12.34,RS
2603801,A322,24.76,PE
3112901,A556,13.66,MG
4304713,B839,10.34,RS
2202505,A337,0.88,PI
3510500,A767,22.08,SP
4104659,A819,15.93,PR
3113107,A513,34.95,MG
3113206,A502,30.55,MG
3300936,A608,26.46,RJ
3510609,A755,2.93,SP
3113404,A554,5.73,MG
2402303,A340,33.32,RN
2504074,A348,34.77,PB
2202539,A308,43.71,PI
2906907,A405,1.41,BA
4304705,B842,3.7,RS
2907004,A431,30.26,BA
3510708,A729,36.3,SP
3301157,A604,37.16,RJ
3113602,A531,44.95,MG
3201308,A612,11.57,ES
2303006,A314,25.77,CE
2202554,A330,47.55,PI
2801405,A420,7.38,SE
2303105,A306,26.57,CE
1703867,A019,19.86,TO
2303204,A315,30.36,CE
2303303,A319,28.42,CE
5102793,A926,2.85,MT
4104709,A821,24.35,PR
4304804,A840,15.04,RS
4304853,B861,32.62,RS
3113800,A533,39.24,MG
3301207,A629,0.93,RJ
3113909,A515,22.23,MG
3114006,A570,17.54,MG
3114105,A531,32.98,MG
3114204,A564,11.51,MG
5205000,A015,45.47,GO
1703883,A021,23.11,TO
2801504,A409,34.95,SE
3114501,A570,30.94,MG
2402501,A372,21.91,RN
2303402,A368,48.19,CE
2603926,A351,36.24,PE
2701803,A323,29.98,AL
1400233,S113,9.03,RR
2102804,A205,0.43,MA
2604007,A301,39.99,PE
2504108,A333,22.27,PB
1703891,A044,37.7,TO
2604106,A341,10.23,PE
3114709,A567,14.76,MG
3114808,A635,48.36,MG
3510807,A738,1.49,SP
3114907,A513,32.11,MG
4304903,B858,1.25,RS
3115003,A034,47.35,MG
2303501,A305,47.96,CE
1703909,A041,41.77,TO
4304952,A844,17.44,RS
3301306,A659,28.2,RJ
2604155,A328,13.66,PE
2504157,A310,24.42,PB
3115102,A516,34.81,MG
3510906,A561,41.48,SP
5002902,A742,1.21,MS
1502400,A202,3.5,PA
5102850,A920,33.2,MT
3201407,A633,24.25,ES
2202604,A361,5.37,PI
3511003,A704,24.78,SP
4104907,A819,3.73,PR
2907301,A434,34.87,BA
3115300,A517,45.59,MG
5205109,A034,2.12,GO
3511102,A736,14.15,SP
4204004,A841,14.99,SC
2303600,A324,46.59,CE
3115409,A513,31.06,MG
2604205,A357,14.8,PE
3511201,A736,24.64,SP
2504207,A321,37.09,PB
2907400,A402,27.11,BA
4305009,B844,25.65,RS
5205208,A002,36.52,GO
2907558,A454,47.5,BA
2504355,A313,25.38,PB
2303709,A305,16.89,CE
5205307,A024,37.99,GO
3115508,A529,46.86,MG
4204103,B846,24.06,SC
2103000,A237,5.25,MA
4305108,B818,3.76,RS
2202653,A308,39.01,PI
2402600,A304,32.25,RN
2303808,A319,32.29,CE
2604304,A370,41.5,PE
3115607,A536,39.38,MG
4204152,B861,29.25,SC
4305116,A828,32.39,RS
2907608,A424,34.34,BA
3115706,A540,34.59,MG
3115805,A035,19.54,MG
5205406,A015,36.87,GO
3511409,A725,24.02,SP
3511508,A713,33.19,SP
4305124,A887,37.41,RS
4105201,A816,35.33,PR
4305132,B840,29.62,RS
2402709,A367,41.72,RN
4305157,A854,35.22,RS
4305173,B811,13.08,RS
4305207,A852,37.02,RS
3511607,A713,43.75,SP
5205455,A029,43.2,GO
2604403,A301,27.58,PE
2604502,A357,49.17,PE
2701902,A327,39.79,AL
3115904,A557,14.87,MG
4305306,A856,28.94,RS
5103007,A958,0.42,MT
3116159,A548,0.64,MG
5205471,A730,44.27,GO
4204194,A863,21.23,SC
5002951,A730,2.96,MS
2103208,A206,0.48,MA
4204202,A895,2.65,SC
3511706,A726,26.58,SP
4305355,B812,0.47,RS
4305371,A828,43.23,RS
3557204,A716,14.26,SP
3116209,A625,18.68,MG
4305405,A805,16.67,RS
2303931,A369,17.74,CE
4305439,A899,10.16,RS
4305447,A838,14.79,RS
4105508,A869,47.19,PR
2907806,A419,33.9,BA
4105607,A869,2.33,PR
5205497,A012,20.95,GO
4305454,A834,19.17,RS
2907905,A458,9.45,BA
