feature,count,mean,std,min,25%,50%,75%,max
prop_obito_agravo,200000.0,0.0009005524169335053,0.024686599716321703,0.0,0.0,0.0,0.0,1.0
prop_obito_outras_causas,200000.0,0.0019850025975814596,0.03876439205941004,0.0,0.0,0.0,0.0,1.0
prop_criterio_lab,200000.0,0.45078535722904906,0.45332368561892067,0.0,0.0,0.3333333333333333,1.0,1.0
prop_criterio_clinico_epi,200000.0,0.2733192822486721,0.39610914157282645,0.0,0.0,0.0,0.5714285714285714,1.0
prop_criterio_clinico,200000.0,0.01775391343561728,0.12067915685446874,0.0,0.0,0.0,0.0,1.0
prop_confirmado_provavel,200000.0,0.39388784895087475,0.441355059688931,0.0,0.0,0.1,1.0,1.0
prop_descartado,200000.0,0.0013427712244449554,0.028045808356684312,0.0,0.0,0.0,0.0,1.0
prop_inconclusivo,200000.0,0.15317423848400352,0.3310621176961877,0.0,0.0,0.0,0.0,1.0
prop_dengue_alarme,200000.0,0.00542964051706349,0.05630518582193044,0.0,0.0,0.0,0.0,1.0
prop_dengue_grave,200000.0,0.0009522084868185109,0.025409903708340866,0.0,0.0,0.0,0.0,1.0
prop_chikungunya,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prop_raca_branca,200000.0,0.4137398576714634,0.42226091719165304,0.0,0.0,0.2857142857142857,1.0,1.0
prop_raca_preta,200000.0,0.045163978837079684,0.15606022163908168,0.0,0.0,0.0,0.0,1.0
prop_raca_amarela,200000.0,0.00940911980899229,0.07299770177744504,0.0,0.0,0.0,0.0,1.0
prop_raca_parda,200000.0,0.38601827486371776,0.4133495688749798,0.0,0.0,0.2222222222222222,0.8378378378378378,1.0
prop_raca_indigena,200000.0,0.0034819188193149658,0.04663083013109167,0.0,0.0,0.0,0.0,1.0
prop_febre,200000.0,0.5354910909285581,0.4707682073124917,0.0,0.0,0.7692307692307693,1.0,1.0
prop_mialgia,200000.0,0.4622949747000139,0.4554722142390284,0.0,0.0,0.5,1.0,1.0
prop_cefaleia,200000.0,0.4921780583202945,0.4602037682202724,0.0,0.0,0.6,1.0,1.0
prop_exantema,200000.0,0.12887986192013404,0.275679400506817,0.0,0.0,0.0,0.08333333333333333,1.0
prop_vomito,200000.0,0.12197420627689409,0.25777375451617124,0.0,0.0,0.0,0.1111111111111111,1.0
