feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,anova_f_norm,mutual_information_norm,random_forest_importance_norm,composite_score,selected
qt_hospitalizados,148.2980889441992,4.479539197767129e-34,0.010834241157834379,0.00023846764737851776,0.0006811811629611639,0.01557731586612897,0.001095762920784494,0.005784753316624876,False
prop_inconclusivo,988.1097450874381,3.88907849742045e-215,0.007053705939165544,0.0005690665741395148,0.00453870815250481,0.01014171678850969,0.0026148706470449034,0.005765098529353134,False
prop_descartado,187.658927074857,1.195687642703295e-42,0.008966269623173595,0.0007547554626311021,0.000861978243246239,0.012891573302303207,0.00346811426750047,0.0057405552710166384,False
prop_alrm_abdom,889.3751931142322,5.2722103201477135e-194,0.008131117706488,0.00013786975295543587,0.00408518837071676,0.011690803907115133,0.0006335138743013167,0.005469835384044403,False
prop_dengue_alarme,348.48938833646713,1.5005636695684098e-77,0.0094696120047284,0.00015870675845092782,0.0016007246520619767,0.013615271727699533,0.0007292602711527987,0.0053150855503047685,False
qt_dengue_alarme,77.52128589168504,1.3471233756294296e-18,0.010118566656821315,0.00018568038283985118,0.00035608037874184913,0.014548329378085619,0.0008532045368402755,0.005252538097889247,False
prop_criterio_lab,169.1318849103601,1.2913583594813837e-38,0.007693749588138177,0.0005992172371903379,0.0007768775368400277,0.011061962326975198,0.0027534134597549144,0.004864084441190047,False
atraso_notificacao_medio_dias,37.32863816681479,1.0041991342769729e-09,0.0087662631474279,0.00038093666106083656,0.00017146252752990726,0.012604006872631383,0.001750410476836523,0.004841959958999271,False
prop_plasmatico,328.57658479949833,3.080609757554102e-73,0.007581923042459415,0.0003172272908139779,0.0015092586947613844,0.01090117973049436,0.0014576648302447688,0.004622701085166838,False
prop_raca_branca,128.14069531146836,1.1207350575181612e-29,0.00837820575482362,0.00021981410379807686,0.0005885917241169714,0.012046063543632088,0.0010100495687999343,0.004548234945516331,False
prop_sexo_masc,38.009994086016285,7.083012132949115e-10,0.007996229068377492,0.00021343286526134212,0.00017459221598871663,0.011496862966352526,0.0009807276685165965,0.004217394283619279,False
prop_alrm_hipot,408.59147362271983,1.4890722583584826e-90,0.0068410287690072735,1.3694318063360876e-05,0.0018767929995582517,0.009835932616936749,6.292562586253767e-05,0.003925217080785846,False
qt_descartados,18.799251226775414,1.454604358167558e-05,0.007150806269853538,0.00019115561952090288,8.63510508100507e-05,0.010281326245212496,0.0008783633430916432,0.0037486802130380636,False
