feature,mean_abs_shap,is_inmet,rank
prop_alrm_abdom,2.778754e-05,False,122
prop_alrm_liq,2.4895951e-05,False,123
indice_gravidade,2.3439474e-05,False,124
prop_grav_taqui,1.8538381e-05,False,125
prop_grav_hipot,1.7535122e-05,False,126
prop_obito_agravo,8.835159e-06,False,127
prop_grav_insuf,7.2512125e-06,False,128
prop_alrm_hemat,5.5859177e-06,False,129
prop_grav_consc,2.7757255e-06,False,130
prop_grav_conv,1.0349755e-06,False,131
prop_grav_melen,0.0,False,132
prop_grav_mioc,0.0,False,133
prop_grav_ast,0.0,False,134
prop_grav_sang,0.0,False,135
prop_grav_orgao,0.0,False,136
prop_sangram,0.0,False,137
prop_hematura,0.0,False,138
prop_petequias,0.0,False,139
prop_epistaxe,0.0,False,140
prop_gengivo,0.0,False,141
prop_mani_hemor,0.0,False,142
indice_hemorragico,0.0,False,143
qt_chikungunya,0.0,False,144
prop_plaq_menor,0.0,False,145
prop_evidencia,0.0,False,146
prop_plasmatico,0.0,False,147
qt_descartados,0.0,False,148
prop_grav_metro,0.0,False,149
prop_grav_hemat,0.0,False,150
prop_laco_n,0.0,False,151
prop_metro,0.0,False,152
prop_grav_ench,0.0,False,153
prop_grav_extre,0.0,False,154
prop_grav_pulso,0.0,False,155
prop_descartado,0.0,False,156
prop_chikungunya,0.0,False,157
qt_obitos_outras_causas,0.0,False,158
qt_obitos_agravo,0.0,False,159
